"iso2c","year","membership","country","CentralBankAssetsGDP","DomesticCreditGDP","DepositBankAssetsGDP","BankAssetsGDP","LV2012.Fiscal","discount_rate","grouping","CentralBankAssetsGDP_lag1","BankAssetsGDP_lag1","DepositBankAssetsGDP_lag1","discount_rate_ma3","DomesticCredit_change","DomesticCredit_change_ma3","costs_deviation","CentralBankAssetsGDP_lag1_log","BankAssetsGDP_lag1_log","DepositBankAssetsGDP_lag1_log","DomesticCredit_change_ma3_log","discount_rate_log","discount_rate_ma3_log","LV2012.Fiscal_log","costs_deviation_log"
"AR",1995,NA,"Argentina",3.283606,23.0055164422625,25.08058,37,2,NA,"Not Europe/JP/US",3.85141,34,22.61777,NA,4.8504404650056,-0.452724668247017,0.0588235294117647,1.34843931501871,3.52636052461616,3.1187358805054,NA,NA,NA,0.693147180559945,-2.83321334405622
"AR",2001,NA,"Argentina",5.244755,30.7450957693234,33.26785,47,9.6,NA,"Not Europe/JP/US",2.440358,58,33.65421,NA,8.10314787249529,4.42359101822685,0.16551724137931,0.892144749854067,4.06044301054642,3.51613815970626,1.48695181379537,NA,NA,2.26176309847379,-1.79867991207263
"AT",2008,"SSM","Austria",1.086706,126.732609099039,127.5277,378,4.9,3,"Europe/JP/US",1.147104,328,124.349,1.75,2.90092131245779,1.26217096154631,0.0149390243902439,0.137240505353316,5.79301360838414,4.82309212839963,0.232833223681129,1.09861228866811,0.559615787935423,1.58923520511658,-4.20377840326756
"BE",2008,"SSM","Belgium",0.6894571,110.289509963655,112.6932,358,6,3,"Europe/JP/US",0.4284942,391,106.9311,1.75,1.48631298515551,2.91138160567131,0.0153452685421995,-0.847478076625174,5.96870755998537,4.67218470181937,1.06862774709292,1.09861228866811,0.559615787935423,1.79175946922805,-4.17694809075731
"BG",1996,"EU Non-SSM","Bulgaria",11.21299,106.437941731356,55.57782,130,14,NA,"Europe/JP/US",8.709485,124,65.51361,NA,54.2030966831231,-15.0932135153075,0.112903225806452,2.16441266167659,4.82028156560504,4.18225790731617,NA,NA,NA,2.63905732961526,-2.18122423598978
"BO",1994,NA,"Bolivia",20.68595,52.773988684899,45.1429,45.1429,6,NA,"Not Europe/JP/US",27.1168,39.48947,39.48947,14.875,7.80361405511262,29.2276738479333,0.151939238485601,3.30015346201005,3.67603405408922,3.67603405408922,3.37511599497569,NA,2.69968195143169,1.79175946922805,-1.88427458486117
"BR",1990,NA,"Brazil",24.13287,87.6272265457904,44.87469,29,0,NA,"Not Europe/JP/US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-Inf,NA
"BR",1994,NA,"Brazil",11.99523,86.4091973244737,50.02289,101,13.2,NA,"Not Europe/JP/US",19.66725,65,45.82613,35.215,-52.0066099136435,28.8877383960677,0.203076923076923,2.97895481581468,4.17438726989564,3.82485445245065,3.36341722813478,NA,3.56147212819737,2.58021682959233,-1.59417044030331
"CH",2008,"EEA/Other","Switzerland",0.3790889,165.843439279637,171.4427,550,1.1,NA,"Europe/JP/US",0.4747487,645,170.224,NA,-1.35497343106904,1.66679489073997,0.00170542635658915,-0.744969667576798,6.46925031679577,5.13711521677401,0.510902555250668,NA,NA,0.0953101798043249,-6.37394013699145
"CN",1998,NA,"China",2.001828,113.111482606024,100.6628,100.6628,18,4.59,"Not Europe/JP/US",2.47766,89.16473,89.16473,3.24,12.3004039466619,4.13488147690741,0.201873543496403,0.907314566367808,4.49048555780591,4.49048555780591,1.41945866468091,1.52388002407245,1.17557332980424,2.89037175789616,-1.60011379990974
"CO",1998,NA,"Colombia",0.78963,42.4568693236055,40.77424,40.77424,6.3,42.28,"Not Europe/JP/US",0.6518779,38.59525,38.59525,15.765,4.04696161098552,5.59167540251818,0.163232522136791,-0.427898004531339,3.65312921190383,3.65312921190383,1.72127895648675,3.74431416100204,2.75779229299702,1.84054963339749,-1.81257957850635
"CZ",1996,"EU Non-SSM","Czech Republic",0.5999067,62.4465001528173,72.91669,122,6.8,NA,"Europe/JP/US",1.932493,127,74.35887,NA,-5.86036033994225,NA,0.0535433070866142,0.658810879221909,4.84418708645859,4.30890296639566,NA,NA,NA,1.91692261218206,-2.92726447427653
"DE",2008,"SSM","Germany",0.180443,122.46065316143,126.4782,319,1.8,3,"Europe/JP/US",0.1824184,313,126.2901,1.75,1.51766730979988,-3.51011962893293,0.00575079872204473,-1.70145232923669,5.74620319054015,4.8385816414861,NA,1.09861228866811,0.559615787935423,0.587786664902119,-5.15841652563803
"DK",2008,"EU Non-SSM","Denmark",0.2603554,204.265868987014,216.7238,270,3.1,NA,"Europe/JP/US",0.4905506,247,199.0511,NA,2.13378596855431,7.61597645354569,0.0125506072874494,-0.712226845256576,5.50938833662798,5.29356157568074,2.03024820577547,NA,NA,1.1314021114911,-4.37798622513688
"DO",2003,NA,"Dominican Republic",3.446012,39.1773887280095,31.81282,31.81282,22,NA,"Not Europe/JP/US",1.838305,34.52786,34.52786,NA,11.086008175026,6.45024768701516,0.637166624285432,0.608843951407249,3.54176653438724,3.54176653438724,1.864118531158,NA,NA,3.09104245335832,-0.450724081028929
"EC",1998,NA,"Ecuador",NA,24.5413131245808,32.00353,32.00353,21.7,61.84,"Not Europe/JP/US",NA,28.33315,28.33315,15.6526948160916,3.38207442501917,-8.85493775852864,0.765887308682586,NA,3.34403249721304,3.34403249721304,NA,4.12455040427917,2.7506430948842,3.07731226054641,-0.266720236666623
"EE",1992,"SSM","Estonia",NA,NA,NA,NA,1.9,NA,"Europe/JP/US",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.641853886172395,NA
"ES",2008,"SSM","Spain",1.554453,209.012217267944,206.2909,285,3.8,3,"Europe/JP/US",1.498446,269,181.9014,1.75,8.49973223924249,12.1104581016456,0.0141263940520446,0.404428571089231,5.59471137960184,5.20346478203102,2.49406938522654,1.09861228866811,0.559615787935423,1.33500106673234,-4.2597103128695
"FI",1991,"SSM","Finland",0.9637788,89.8043303353897,93.16127,151,12.8,8.5,"Europe/JP/US",1.056516,137,82.6567,5.375,11.8221240393028,NA,0.0934306569343066,0.0549767023038338,4.91998092582813,4.41469588571226,NA,2.14006616349627,1.68175857401373,2.54944517092557,-2.37053575490255
"FR",2008,"SSM","France",0.6388952,120.44437207205,123.4992,328,1,3,"Europe/JP/US",0.4598152,309,115.898,1.75,1.76612677260799,4.85481334873528,0.00323624595469256,-0.776930609348215,5.73334127689775,4.75271049394142,1.57997065584159,1.09861228866811,0.559615787935423,0,-5.73334127689774
"GB",2007,"EU Non-SSM","United Kingdom",0.6319955,177.996712934078,172.6264,439,8.8,5.5128,"Europe/JP/US",0.721575,377,159.3875,0.57115,9.60691750443596,5.40455790881957,0.023342175066313,-0.326318956066699,5.93224518744801,5.07133834420966,1.68724265474309,1.70707266106086,-0.560103406802181,2.17475172148416,-3.75749346596385
"GR",2008,"SSM","Greece",5.270961,111.481808869209,109.9004,199,27.3,3,"Europe/JP/US",5.787165,175,103.3186,1.75,2.36231254319013,6.4076417840107,0.156,1.75564253436772,5.16478597392351,4.63781741800033,1.8574913068319,1.09861228866811,0.559615787935423,3.30688670219091,-1.8578992717326
"HR",1998,"EU Non-SSM","Croatia",0.0109578,41.3619365982878,50.90392,61,6.9,5.9,"Europe/JP/US",0.1009334,61,46.14694,5.9,8.02084084805644,NA,0.113114754098361,-2.29329438558519,4.11087386417331,3.83183065322509,NA,1.77495235091167,1.77495235091167,1.93152141160321,-2.1793524525701
"HU",1991,"EU Non-SSM","Hungary",62.45192,98.0498200772384,46.16813,46.16813,10,22,"Europe/JP/US",50.31333,47.01091,47.01091,23.5,NA,NA,0.21271658004493,3.91827005193712,3.85037970243218,3.85037970243218,NA,3.09104245335832,3.15700042115011,2.30258509299405,-1.54779460943813
"HU",2008,"EU Non-SSM","Hungary",1.005721,79.7174720872322,80.14574,128,2.7,10,"Europe/JP/US",0.8215337,114,71.67265,6.375,7.29403431252334,9.00118254367903,0.0236842105263158,-0.196582319826434,4.7361984483945,4.27210922434669,2.19735596244693,2.30258509299405,1.85238409104449,0.993251773010283,-3.74294667538421
"ID",1997,NA,"Indonesia",0.8021913,59.550532699338,56.30861,56.30861,56.8,NA,"Not Europe/JP/US",0.8941699,53.85846,53.85846,NA,10.2326590604203,4.4360399476173,1.05461611787637,-0.111859477122108,3.98635949432707,3.98635949432707,1.48976207477158,NA,NA,4.03953632572711,0.0531768314000352
