Countries,
Unit,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Albania,%,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,52,50,53,52,55,54,54,56,61,71,77,77,77,81,87,90,91,0,0,0,0,0,0,,,
Algeria,%,0,0,0,0,17,18,22,25,31,45,36,40,52,64,49,56,60,61,59,54,49,53,70,79,74,73,76,78,85,82,77,82,69,48,57,54,49,44,51,54,41,48,53,52,50,44,50,59,60,63,58,55,56,0,,0,0,0,0,0,,,
Argentina,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,23,23,29,34,37,40,46,50,55,58,47,60,50,48,42,40,37,34,34,35,34,37,38,0,0,0,0,0,0,,,
Armenia,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,17,20,27,23,21,19,20,20,20,24,29,42,45,55,62,69,0,0,0,0,0,0,,,
Australia,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,86,88,88,91,95,98,102,105,112,111,115,128,140,147,151,166,191,216,209,202,202,208,219,0,0,0,0,0,0,,,
Austria,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,222,220,216,213,214,220,221,224,228,236,249,263,270,272,260,268,277,293,308,328,378,373,343,339,320,297,0,0,0,0,0,0,,,
Azerbaijan,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,18,14,14,15,19,18,20,24,27,33,31,28,31,35,0,0,0,0,0,0,,,
Belarus,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,26,28,24,24,27,29,32,37,43,49,61,78,87,61,62,0,0,0,0,0,0,,,
Belgium,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,217,237,251,254,258,268,277,275,276,270,274,296,289,296,317,327,316,299,287,309,295,309,319,354,364,391,358,332,319,325,289,268,0,0,0,0,0,0,,,
"Bosnia and Herzegovina",%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,52,52,45,36,44,45,53,59,67,75,89,83,85,82,81,82,84,0,0,0,0,0,0,,,
Brazil,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,33,46,65,101,69,58,73,69,67,70,72,75,70,66,73,83,93,109,109,111,120,128,127,0,0,0,0,0,0,,,
Bulgaria,%,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,341,290,271,204,124,130,32,26,27,28,33,35,38,44,51,59,69,67,73,77,80,83,89,0,0,0,0,0,0,,,
Canada,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,108,111,118,124,124,127,131,146,160,172,160,152,160,155,152,150,156,165,173,194,179,182,195,212,0,0,0,0,0,0,0,,,
Chile,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,81,77,79,75,75,79,84,87,96,93,95,93,90,88,89,85,92,110,106,98,104,108,116,0,0,0,0,0,0,,,
China,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,198,203,203,200,201,233,237,239,257,0,0,0,0,0,0,0,,,
Colombia,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,47,49.6,51.7,53.2,51.5,52.4,56.1,60,0,0,0,0,0,0,,,
Croatia,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,61,61,57,63,77,83,89,93,98,105,108,108,115,121,124,122,121,0,0,0,0,0,0,,,
"Czech Republic",%,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,110,116,127,122,129,125,125,127,116,100,96,90,93,93,101,108,112,114,121,124,134,0,0,0,0,0,0,,,
Denmark,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,73,76,74,89,98,118,118,119,128,132,133,115,103,114,97,100,109,114,125,130,135,148,164,166,172,194,207,247,270,259,238,250,254,277,0,0,0,0,0,0,,,
Egypt,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,126,128,121,116,114,114,115,114,112,119,131,138,131,131,123,126,121,105,101,93,87,89,0,0,0,0,0,0,,,
Estonia,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,40,58,52,56,60,63,67,72,88,106,114,128,134,147,136,113,111,107,0,0,0,0,0,0,,,
"European Union",%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,287,324,290,210,182,198,205,180,161,188,205,188,212,0,,,,,,,,,
Finland,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,58,59,64,68,75,80,90,99,129,135,137,151,153,150,127,122,116,116,105,109,106,116,110,123,133,144,150,155,202,220,232,286,258,235,0,0,0,0,0,0,,,
France,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,209,216,222,221,224,227,223,226,233,243,236,254,244,246,238,243,228,273,288,309,328,350,368,378,386,395,0,0,0,0,0,0,,,
Georgia,%,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,8,10,11,12,13,15,16,17,22,31,42,46,46,51,52,55,64,0,0,0,0,0,0,,,
Germany,%,,,,,,,,,,,97,99,104,105,107,112,117,122,128,132,135,141,146,149,151,156,158,165,167,166,169,171,173,191,203,210,233,250,270,284,297,300,301,300,301,308,309,313,319,313,333,322,309,275,0,0,0,0,0,0,,,
Ghana,%,0,0,0,0,12.2,13.3,15.2,15.2,14.5,13.8,13.7,14.3,14.4,12.5,11.2,12.3,12.8,12.5,7.7,7.1,6.1,5.7,5.3,4.8,3.9,4.5,4.7,4.5,4,5.3,6,5.3,6.1,6.1,5.1,5,5.5,10.4,16.1,21.4,24.5,25.2,23.9,22.8,23.8,23.7,27.3,32.9,34.5,38.4,37.5,36.1,37.5,41.8,0,0,0,0,0,0,,,
Greece,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,136,133,133,148,154,175,199,213,232,229,229,224,0,0,0,0,0,0,,,
Hungary,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,62,62,63,68,69,69,68,69,78,83,92,103,114,128,138,132,130,112,107,0,0,0,0,0,0,,,
Iceland,%,0,42.3,39,37.9,33.7,30.1,30.5,35,40,36.2,30.3,28,28.3,26.1,26.9,27.5,24.7,22.7,22.1,22,22.2,24.3,27,30,34.1,34.7,31.7,30.9,35.9,41.5,45.7,47,51.1,53.2,50.4,49.1,49.4,57.8,63.4,76,92,191,163,199,280,566,777,741,283,197,180,180,174,172,0,0,0,0,0,0,,,
India,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,75,62,68,67,70,72,75,81,87,93,93,92,92,95,,0,,0,0,0,0,,,
Indonesia,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,51,50,47,45,47,49,52,55,0,,,0,0,0,,,
Iran,%,,,13.3,13.7,15.2,15.6,16.5,17.6,18.2,19.6,20.7,19.9,20.4,19.3,16.1,22.4,23.9,28,,,36.9,34.6,27.8,26.1,27.5,27.2,,,,21.5,25.4,23.7,24.4,20.9,20.4,18.5,16,16.8,18.5,18.4,18.3,20.8,20.4,23,25.1,26.6,28.1,30.8,33.9,34.3,23.2,0,0,0,0,0,0,,0,0,,,
Ireland,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,161,229,244,351,350,366,420,409,482,578,663,705,783,816,739,631,532,451,0,,,0,0,0,,,
Israel,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,159,148,147,145,148,143,140,136,133,131,135,123,0,0,0,0,0,0,0,,,
Italy,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,128,126,122,120,128,131,137,151,157,152,145,145,148,146,151,158,156,164,169,174,186,200,213,217,226,220,215,225,216,0,0,0,0,0,0,,,
Japan,%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,206,192,176,173,170,169,167,162,148,146,158,150,150,150,148,152,150,152,161,178,181,190,193,0,0,0,0,0,0,0,,,
Kazakhstan,%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,15,16,22,21,25,30,36,46,59,87,91,74,68,55,46,46,46,0,0,0,0,0,0,,,
